"id";"date_time";"proto";"source_ip";"source_port";"dest_ip";"dest_port"
64;"2020-01-14 13:57:39";"icmp";"172.10.1.2";0;"172.10.1.5:";8
65;"2020-01-14 13:57:39";"icmp";"172.10.1.2";0;"172.10.1.5:";8
66;"2020-01-14 13:57:39";"icmp";"172.10.1.2";0;"172.10.1.5:";8
67;"2020-01-14 13:57:39";"icmp";"172.10.1.2";0;"172.10.1.5:";8
68;"2020-01-14 13:57:39";"icmp";"172.10.1.2";0;"172.10.1.5:";8
69;"2020-01-14 13:57:39";"icmp";"172.10.1.2";0;"172.10.1.5:";8
70;"2020-01-14 13:57:39";"icmp";"172.10.1.2";0;"172.10.1.5:";8
71;"2020-01-14 13:57:40";"udp";"172.10.1.1";137;"172.10.1.5";137
72;"2020-01-14 13:57:40";"udp";"172.10.1.1";137;"172.10.1.5";137
73;"2020-01-14 13:57:40";"udp";"172.10.1.1";137;"172.10.1.5";137
74;"2020-01-14 13:57:43";"udp";"172.10.1.1";5353;"172.10.1.5";5353
75;"2020-01-14 13:57:43";"udp";"172.10.1.1";5353;"172.10.1.5";5353
76;"2020-01-14 13:57:43";"udp";"172.10.1.1";5353;"172.10.1.5";5353
77;"2020-01-14 13:57:43";"udp";"172.10.1.1";5353;"172.10.1.5";5353
78;"2020-01-14 13:57:44";"udp";"172.10.1.1";5353;"172.10.1.5";5353
79;"2020-01-14 13:57:44";"udp";"172.10.1.1";5353;"172.10.1.5";5353
80;"2020-01-14 13:57:44";"udp";"172.10.1.1";5353;"172.10.1.5";5353
81;"2020-01-14 13:57:44";"udp";"172.10.1.1";5353;"172.10.1.5";5353
82;"2020-01-14 13:57:54";"tcp";"172.10.1.2";36220;"172.10.1.5";80
83;"2020-01-14 13:57:54";"tcp";"172.10.1.2";36222;"172.10.1.5";80
84;"2020-01-14 13:57:54";"tcp";"172.10.1.2";36224;"172.10.1.5";80
85;"2020-01-14 13:57:54";"tcp";"172.10.1.2";36226;"172.10.1.5";80
86;"2020-01-14 13:57:54";"tcp";"172.10.1.2";36228;"172.10.1.5";80
87;"2020-01-14 13:57:57";"tcp";"172.10.1.2";36230;"172.10.1.5";80
88;"2020-01-14 13:57:57";"tcp";"172.10.1.2";36232;"172.10.1.5";80
89;"2020-01-14 13:57:57";"tcp";"172.10.1.2";36234;"172.10.1.5";80
90;"2020-01-14 13:57:57";"tcp";"172.10.1.2";36236;"172.10.1.5";80
91;"2020-01-14 13:57:57";"tcp";"172.10.1.2";36238;"172.10.1.5";80
92;"2020-01-14 13:57:59";"tcp";"172.10.1.2";36240;"172.10.1.5";80
93;"2020-01-14 13:57:59";"tcp";"172.10.1.2";36242;"172.10.1.5";80
94;"2020-01-14 13:57:59";"tcp";"172.10.1.2";36244;"172.10.1.5";80
95;"2020-01-14 13:57:59";"tcp";"172.10.1.2";36248;"172.10.1.5";80
96;"2020-01-14 13:58:01";"tcp";"172.10.1.2";36250;"172.10.1.5";80
97;"2020-01-14 13:58:01";"tcp";"172.10.1.2";36252;"172.10.1.5";80
98;"2020-01-14 13:58:01";"tcp";"172.10.1.2";36254;"172.10.1.5";80
99;"2020-01-14 13:58:01";"tcp";"172.10.1.2";36256;"172.10.1.5";80
100;"2020-01-14 13:58:01";"tcp";"172.10.1.2";36258;"172.10.1.5";80
101;"2020-01-14 13:58:02";"tcp";"172.10.1.2";36260;"172.10.1.5";80
102;"2020-01-14 13:58:02";"tcp";"172.10.1.2";36262;"172.10.1.5";80
103;"2020-01-14 13:58:02";"tcp";"172.10.1.2";36264;"172.10.1.5";80
104;"2020-01-14 13:58:02";"tcp";"172.10.1.2";36266;"172.10.1.5";80
105;"2020-01-14 13:58:02";"tcp";"172.10.1.2";36268;"172.10.1.5";80
106;"2020-01-14 13:58:04";"tcp";"172.10.1.2";36270;"172.10.1.5";80
107;"2020-01-14 13:58:04";"tcp";"172.10.1.2";36274;"172.10.1.5";80
108;"2020-01-14 13:58:04";"tcp";"172.10.1.2";36276;"172.10.1.5";80
109;"2020-01-14 13:58:04";"tcp";"172.10.1.2";36278;"172.10.1.5";80
110;"2020-01-14 13:58:05";"tcp";"172.10.1.2";36280;"172.10.1.5";80
111;"2020-01-14 13:58:05";"tcp";"172.10.1.2";36282;"172.10.1.5";80
112;"2020-01-14 13:58:05";"tcp";"172.10.1.2";36284;"172.10.1.5";80
113;"2020-01-14 13:58:05";"tcp";"172.10.1.2";36286;"172.10.1.5";80
114;"2020-01-14 13:58:05";"tcp";"172.10.1.2";36288;"172.10.1.5";80
115;"2020-01-14 13:58:07";"tcp";"172.10.1.2";36290;"172.10.1.5";80
116;"2020-01-14 13:58:07";"tcp";"172.10.1.2";36292;"172.10.1.5";80
117;"2020-01-14 13:58:07";"tcp";"172.10.1.2";36294;"172.10.1.5";80
118;"2020-01-14 13:58:07";"tcp";"172.10.1.2";36296;"172.10.1.5";80
119;"2020-01-14 13:58:07";"tcp";"172.10.1.2";36298;"172.10.1.5";80
120;"2020-01-14 13:58:08";"udp";"172.10.1.1";5353;"172.10.1.5";5353
121;"2020-01-14 13:58:08";"udp";"172.10.1.1";5353;"172.10.1.5";5353
122;"2020-01-14 13:58:08";"udp";"172.10.1.1";5353;"172.10.1.5";5353
123;"2020-01-14 13:58:08";"udp";"172.10.1.1";5353;"172.10.1.5";5353
124;"2020-01-14 13:58:08";"udp";"172.10.1.1";5353;"172.10.1.5";5353
125;"2020-01-14 13:58:08";"udp";"172.10.1.1";137;"172.10.1.5";137
126;"2020-01-14 13:58:08";"udp";"172.10.1.1";5353;"172.10.1.5";5353
127;"2020-01-14 13:58:08";"udp";"172.10.1.1";5353;"172.10.1.5";5353
128;"2020-01-14 13:58:08";"udp";"172.10.1.1";5353;"172.10.1.5";5353
129;"2020-01-14 13:58:08";"udp";"172.10.1.1";137;"172.10.1.5";137
130;"2020-01-14 13:58:08";"udp";"172.10.1.1";5353;"172.10.1.5";5353
131;"2020-01-14 13:58:08";"udp";"172.10.1.1";5353;"172.10.1.5";5353
132;"2020-01-14 13:58:08";"udp";"172.10.1.1";5353;"172.10.1.5";5353
133;"2020-01-14 13:58:08";"udp";"172.10.1.1";5353;"172.10.1.5";5353
134;"2020-01-14 13:58:09";"udp";"172.10.1.1";137;"172.10.1.5";137
135;"2020-01-14 13:58:09";"udp";"172.10.1.1";137;"172.10.1.5";137
136;"2020-01-14 13:58:09";"tcp";"172.10.1.2";36300;"172.10.1.5";80
137;"2020-01-14 13:58:09";"tcp";"172.10.1.2";36302;"172.10.1.5";80
138;"2020-01-14 13:58:09";"tcp";"172.10.1.2";36304;"172.10.1.5";80
139;"2020-01-14 13:58:09";"tcp";"172.10.1.2";36306;"172.10.1.5";80
140;"2020-01-14 13:58:09";"tcp";"172.10.1.2";36308;"172.10.1.5";80
141;"2020-01-14 13:58:09";"udp";"172.10.1.1";5353;"172.10.1.5";5353
142;"2020-01-14 13:58:09";"udp";"172.10.1.1";5353;"172.10.1.5";5353
143;"2020-01-14 13:58:09";"udp";"172.10.1.1";5353;"172.10.1.5";5353
144;"2020-01-14 13:58:09";"udp";"172.10.1.1";5353;"172.10.1.5";5353
145;"2020-01-14 13:58:09";"udp";"172.10.1.1";5353;"172.10.1.5";5353
146;"2020-01-14 13:58:09";"udp";"172.10.1.1";5353;"172.10.1.5";5353
147;"2020-01-14 13:58:09";"udp";"172.10.1.1";5353;"172.10.1.5";5353
148;"2020-01-14 13:58:09";"udp";"172.10.1.1";5353;"172.10.1.5";5353
149;"2020-01-14 13:58:09";"udp";"172.10.1.1";5353;"172.10.1.5";5353
150;"2020-01-14 13:58:09";"udp";"172.10.1.1";5353;"172.10.1.5";5353
